0,100,200,300,400,500
10,8.439,6.9321,6.5415,8.1858,6.4029
20,13.7562,15.4038,14.9268,16.14,17.1642
30,22.5777,23.0013,22.1079,21.4926,20.3982
40,29.8884,30.3696,33.8634,30.4284,34.5519
50,40.0683,44.3251,37.4391,33.1833,40.8162
