0,100,200,300,400,500
10,6.1992,7.1256,7.6617,8.4012,8.6985
20,17.5503,14.7165,19.2627,17.5782,16.2585
30,24.8904,21.4152,21.0048,25.713,22.7205
40,31.8009,35.4975,32.5104,27.8505,30.3576
50,43.941,46.3251,39.8181,40.9365,37.6779
