,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,73.0,0.0,0.0,0.0,0.0,291269.0,1095.0,0.0,1342.0,0.0,3526.0,0.0,2190.0,16712.0,0.0,0.0,0.0,0.0,547826.0,16712.0,0.0,3526.0,4627.0,522961.0,167.426,11082.0,110.82,20238.0,202.38000000000002,166.5045,33.3009,133.2036,35.26,146.08,7.304,125.8996,40
mean,1.825,0.0,0.0,0.0,0.0,7281.725,27.375,0.0,33.55,0.0,88.15,0.0,54.75,417.8,0.0,0.0,0.0,0.0,13695.65,417.8,0.0,88.15,115.675,13074.025,4.18565,277.05,2.7704999999999997,505.95,5.059500000000001,4.1626125,0.8325224999999999,3.3300899999999998,0.8815,3.652,0.1826,3.1474900000000003,40
std,1.3753787357185172,0.0,0.0,0.0,0.0,4762.398883710194,20.63068103577776,0.0,26.581225300229075,0.0,84.81640806426006,0.0,41.26136207155552,360.1806669166362,0.0,0.0,0.0,0.0,5007.722613303863,360.1806669166362,0.0,84.81640806426006,87.85868242196143,5287.846595235492,3.6058077835340683,147.3325124701579,1.473325124701579,413.4173994328808,4.134173994328808,2.2090816327370417,0.4418163265474084,1.7672653061896333,0.8481640806426004,1.6928161939994155,0.08464080969997079,1.6945187952896077,40
