,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,400.0,0.0,0.0,0.0,0.0,375617.0,4155.0,0.0,13756.0,0.0,42223.0,0.0,11897.0,75615.0,0.0,0.0,0.0,0.0,556687.0,75615.0,0.0,42223.0,29808.0,409041.0,1073.2269999999999,14507.0,145.07000000000002,117838.0,1178.3799999999999,217.96650000000002,43.5933,174.3732,422.2299999999999,567.3,28.365000000000002,146.0082,50
mean,8.0,0.0,0.0,0.0,0.0,7512.34,83.1,0.0,275.12,0.0,844.46,0.0,237.94,1512.3,0.0,0.0,0.0,0.0,11133.74,1512.3,0.0,844.46,596.16,8180.82,21.464539999999996,290.14,2.9014000000000006,2356.76,23.5676,4.359330000000001,0.871866,3.487464,8.444599999999998,11.345999999999998,0.5673,2.9201639999999998,50
std,4.535573676110727,0.0,0.0,0.0,0.0,3385.5447794216793,47.90988564855006,0.0,181.2423836541913,0.0,1474.3330586251882,0.0,134.0994772395417,857.4419061656479,0.0,0.0,0.0,0.0,4486.309277236736,857.4419061656479,0.0,1474.3330586251882,344.3632609762605,6127.193510399157,12.475392494271372,148.17240509842938,1.4817240509842937,1863.6428838077716,18.636428838077713,2.222013854018237,0.4444027708036474,1.7776110832145895,14.743330586251881,14.591491510116295,0.7295745755058148,1.9565330651445894,50
