0,100,200,300,400,500
5,32,18.5,10.6,8.2,8.2
10,53,44.5,15.66,15.23,14.2
20,90,90.5,61.23,40.2,27.4
30,86,99.5,97.6,75.5,56.6
40,85,99.5,98.6,98,82.2
50,58,99,99.1,98,98
