0,100,200,300,400,500
5,10,8,5.66,4.5,5.6
10,75,16,8,9.25,8.2
20,80,81,43.33,26.25,23.2
30,98,98.5,86.66,67.25,38
40,98,98.5,99.3,93.75,84
50,99,98.5,99.6,97.75,90
