0,100,200,300,400,500
5,21,21,18.33,8.25,10.8
10,72,36,25.3,16.25,21
20,91,90.5,60.23,42.25,38
30,86,98.7,98.33,85.5,68
40,80,98.5,99,98.5,89
50,76,99,99.6,98,99
