,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,433.0,29827.0,2337.0,3112.0,118695.0,26906.0,91086.0,2003089.0,1050.0,0.0,0.0,0.0,0.0,0.0,29827.0,117992.0,4595.0,195.0,300
mean,1.4433333333333334,99.42333333333333,7.79,10.373333333333333,395.65,89.68666666666667,303.62,6676.963333333333,3.5,0.0,0.0,0.0,0.0,0.0,99.42333333333333,393.3066666666667,15.316666666666666,0.65,300
std,4.268589745682451,161.65204008125082,11.071033946390937,14.243720281129002,295.0865654408532,584.577955831129,1399.5903183183411,4391.05586931896,4.777665429529546,0.0,0.0,0.0,0.0,0.0,161.65204008125082,1564.1474600812044,21.281432913341128,0.47776654295295456,300
