,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,399.0,0.0,0.0,0.0,0.0,11133.0,866.0,0.0,10617.0,0.0,58452.0,18000.0,11862.0,54668.0,0.0,0.0,0.0,0.0,234918.0,54668.0,18000.0,58452.0,23345.0,80453.0,1070.287,184.17480000000003,40
mean,9.975,0.0,0.0,0.0,0.0,278.325,21.65,0.0,265.425,0.0,1461.3,450.0,296.55,1366.7,0.0,0.0,0.0,0.0,5872.95,1366.7,450.0,1461.3,583.625,2011.325,26.757175,4.604370000000001,40
std,4.281669336566324,0.0,0.0,0.0,0.0,155.11722407627144,9.962879822570097,0.0,134.99741450515606,0.0,2034.85810253096,1205.7554287027506,123.21691317472488,598.2575210880858,0.0,0.0,0.0,0.0,3368.831821802588,598.2575210880858,1205.7554287027506,2034.85810253096,228.62270873366438,5446.340142053994,11.848919982996827,3.2128544402853887,40
