,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,2951.0,56613.0,4519.0,5950.0,26213.0,262722.0,1145658.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,56613.0,288935.0,10901.0,200
mean,14.755,283.065,22.595,29.75,131.065,1313.61,5728.29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,283.065,1444.675,54.505,200
std,1.8362554753776152,161.87438760288498,6.301549223251797,2.365476143810094,108.98914599501923,3100.3568084331823,4715.628949338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.87438760288498,3118.238824433759,2.973919296130864,200
