,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,3000.0,59873.0,3480.0,6000.0,41076.0,362092.0,996559.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,59873.0,403168.0,11000.0,200
mean,15.0,299.365,17.4,30.0,205.38,1810.46,4982.795,10.0,0.0,0.0,0.0,0.0,0.0,0.0,299.365,2015.84,55.0,200
std,0.0,178.3064996405637,4.397349590046881,0.0,708.7677221911987,3685.3138753979997,4697.01172541847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.3064996405637,3809.613613454664,0.0,200
