,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1500.0,27146.0,1870.0,3000.0,7270.0,90036.0,606049.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,27146.0,97306.0,5500.0,100
mean,15.0,271.46,18.7,30.0,72.7,900.36,6060.49,10.0,0.0,0.0,0.0,0.0,0.0,0.0,271.46,973.06,55.0,100
std,0.0,167.92491227217053,3.3799766898963144,0.0,94.76952372077551,2732.5441673771115,4567.539380213157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.92491227217053,2789.0616206237464,0.0,100
