,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,2115.0,28169.0,2820.0,4230.0,97785.0,25391.0,2080308.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,28169.0,25391.0,7755.0,300
mean,7.05,93.89666666666666,9.4,14.1,325.95,84.63666666666667,6934.36,4.7,0.0,0.0,0.0,0.0,0.0,0.0,93.89666666666666,84.63666666666667,25.85,300
std,7.498996588396071,128.68303592420847,9.998662117861429,14.997993176792143,307.4588601242389,578.2029055520663,4128.612320061614,4.999331058930714,0.0,0.0,0.0,0.0,0.0,0.0,128.68303592420847,578.2029055520663,27.49632082411893,300
