0,100,200,300,400,500
10,90,53.5,58.5,45.75,34.59
20,72,61,59,48.75,39.2
30,71,59.5,49.33,47,45.8
40,64,60,50.66,45.5,37
50,72,60.5,50.33,42.25,40.4
