,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,2985.0,59437.0,4590.0,5979.0,47374.0,327506.0,1104434.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,59437.0,374880.0,10964.0,0.0,200
mean,14.925,297.185,22.95,29.895,236.87,1637.53,5522.17,10.0,0.0,0.0,0.0,0.0,0.0,0.0,297.185,1874.4,54.82,0.0,200
std,0.6092874163963132,172.74194532124164,6.488296382699294,0.9584194484650131,1214.8001151212047,3631.9889257656637,4560.765497227797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.74194532124164,3818.5982260589167,1.1287027284658397,0.0,200
