,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,7500.0,155162.0,8410.0,14970.0,105490.0,1002026.0,2344927.0,4990.0,0.0,0.0,0.0,0.0,0.0,0.0,155162.0,1107516.0,27460.0,500
mean,15.0,310.324,16.82,29.94,210.98,2004.052,4689.854,9.98,0.0,0.0,0.0,0.0,0.0,0.0,310.324,2215.032,54.92,500
std,0.0,185.39136695618745,4.661658730993552,1.3416407864998738,779.9477139353293,3779.4679176806835,4763.583811600701,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,185.39136695618745,3921.534572815543,1.7888543819998317,500
