,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,500.0,0.0,0.0,0.0,0.0,230092.0,5322.0,0.0,18038.0,0.0,53194.0,0.0,14735.0,87105.0,0.0,0.0,0.0,0.0,239484.0,87105.0,0.0,53194.0,38095.0,61090.0,1245.092,6024.0,60.24,140299.0,1402.9899999999998,90.55499999999998,18.111,72.444,531.9399999999999,592.1799999999998,29.609,42.834999999999994,30
mean,16.666666666666668,0.0,0.0,0.0,0.0,7669.733333333334,177.4,0.0,601.2666666666667,0.0,1773.1333333333334,0.0,491.1666666666667,2903.5,0.0,0.0,0.0,0.0,7982.8,2903.5,0.0,1773.1333333333334,1269.8333333333333,2036.3333333333333,41.50306666666667,200.8,2.008,4676.633333333333,46.76633333333333,3.018499999999999,0.6037,2.4148,17.731333333333332,19.739333333333327,0.9869666666666668,1.427833333333333,30
std,4.8518274789049824,0.0,0.0,0.0,0.0,2220.8162049327616,51.05818182264701,0.0,323.8022952926393,0.0,1776.0969555185602,0.0,140.36137678134264,890.0679071342505,0.0,0.0,0.0,0.0,1633.3341276094714,890.0679071342505,0.0,1776.0969555185602,475.5861779359007,3180.1173621081357,13.956989856608454,112.65155309090552,1.1265155309090553,2001.0825774088373,20.010825774088374,1.6904252270585238,0.3380850454117048,1.352340181646819,17.760969555185603,17.680421069516477,0.8840210534758243,1.6449081402573997,30
