,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,400.0,0.0,0.0,0.0,0.0,54779.0,3452.0,0.0,15371.0,0.0,87495.0,0.0,11902.0,74862.0,0.0,0.0,0.0,0.0,184119.0,74862.0,0.0,87495.0,30725.0,-8963.0,1046.155,5013.0,50.129999999999995,162357.0,1623.57,75.33449999999999,15.0669,60.2676,874.9500000000002,925.08,46.254,14.013599999999997,20
mean,20.0,0.0,0.0,0.0,0.0,2738.95,172.6,0.0,768.55,0.0,4374.75,0.0,595.1,3743.1,0.0,0.0,0.0,0.0,9205.95,3743.1,0.0,4374.75,1536.25,-448.15,52.30775,250.65,2.5065,8117.85,81.1785,3.7667249999999997,0.753345,3.01338,43.74750000000001,46.254000000000005,2.3127,0.7006799999999999,20
std,10.22381121644339,0.0,0.0,0.0,0.0,1302.094041191059,84.526794257019,0.0,481.43682703035154,0.0,3456.2904646912693,0.0,304.2201245981704,1858.6832039461644,0.0,0.0,0.0,0.0,5559.160278078733,1858.6832039461644,0.0,3456.2904646912693,831.3754535327839,10145.242785997885,28.163118078110223,95.22785693714893,0.9522785693714894,4152.722762807173,41.527227628071735,1.4295222653868815,0.28590445307737633,1.143617812309505,34.56290464691269,34.84840031063874,1.7424200155319374,1.7613789522028354,20
