,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,300.0,0.0,0.0,0.0,0.0,346797.0,3330.0,0.0,4156.0,0.0,28463.0,0.0,9000.0,57894.0,0.0,0.0,0.0,0.0,414320.0,57894.0,0.0,28463.0,16486.0,311477.0,793.577,793.577,40
mean,7.5,0.0,0.0,0.0,0.0,8669.925,83.25,0.0,103.9,0.0,711.575,0.0,225.0,1447.35,0.0,0.0,0.0,0.0,10358.0,1447.35,0.0,711.575,412.15,7786.925,19.839425,19.839425,40
std,4.126213885105936,0.0,0.0,0.0,0.0,3360.1157671410288,44.542546644062256,0.0,56.735011575406766,0.0,527.3461806354239,0.0,123.7864165531781,922.0295214696429,0.0,0.0,0.0,0.0,4099.113731602892,922.0295214696429,0.0,527.3461806354239,221.8574906417319,5241.783658003036,13.343721388992327,13.343721388992327,40
