,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,2954.0,54745.0,4600.0,5896.0,34761.0,298135.0,1192648.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,54745.0,332896.0,10850.0,0.0,200
mean,14.77,273.725,23.0,29.48,173.805,1490.675,5963.24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,273.725,1664.48,54.25,0.0,200
std,1.5391376558378689,147.2160732942599,6.256654748602969,3.3384617165943102,996.3001036120022,3502.1445862341902,4917.929145259104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.2160732942599,3671.877736274828,3.6433321762822657,0.0,200
