0,100,200,300,400,500
10,246.587,256.922,179.722,180.696,
20,273.868,534.113,412.169,471.77,
30,276.638,542.495,670.997,757.794,
40,276.979,558.945,807.086,1070.971,
50,246.862,513.281,779.059,1080.723,
