0,100,200,300,400,500
10,241.703,224.187,208.52,210.818,276.805
20,256.513,506.603,437.075,443.378,366.167
30,275.763,531.918,775.989,682.287,743.084
40,264.862,535.765,745.393,1045.725,1120.411
50,239.977,478.124,782.003,1055.842,1287.775
