0,100,200,300,400,500
10,22530.75,35503,38162,21021.75,18746.5
20,23139.25,40093.25,57545.75,72752,84086.5
30,22748.5,38920.5,59297,74564.5,90707.75
40,23086.66667,43243,57889.75,74470,89381.25
50,21800.5,41954,58180.75,75023.5,89332
