0,100,200,300,400,500
10,27651.5,49409,56917.75,31652.75,30689.25
20,28491.25,57016.25,86275,115193.25,137719.25
30,27641.5,55276,88978.25,117277,149194.25
40,28833.33333,58912,85761.5,115367,147372.5
50,27282,56793.5,84578.75,116487,145596.5
