veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,ds
1,12,0.0,False,0,0,70.0,18.0,0,160.0,0,1459.0,0,360.0,2103.0,0,0,0,0,6629.0,2103.0,0,1459.0,538.0,2529.0,30.517,30.517,2
2,13,0.0,False,0,0,187.0,16.0,0,240.0,0,1091.0,0,390.0,2095.0,0,0,0,0,6780.0,2095.0,0,1091.0,646.0,2948.0,22.669,22.669,2
3,8,0.0,False,0,0,224.0,15.0,0,125.0,0,1511.0,0,240.0,1963.0,0,0,0,0,6721.0,1963.0,0,1511.0,380.0,2867.0,24.15,24.15,2
4,11,0.0,False,0,0,257.0,15.0,0,200.0,0,1616.0,0,330.0,1731.0,0,0,0,0,6650.0,1731.0,0,1616.0,545.0,2758.0,19.251,19.251,2
5,12,0.0,False,0,0,169.0,15.0,0,160.0,0,1501.0,0,360.0,2006.0,0,0,0,0,6588.0,2006.0,0,1501.0,535.0,2546.0,31.173,31.173,2
