veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,ds
1,11,0.0,False,0,0,70.0,15.0,0,160.0,0,1522.0,0,330.0,2091.0,0,0,0,0,6611.0,2091.0,0,1522.0,505.0,2493.0,31.329,31.329,3
2,12,0.0,False,0,0,189.0,21.0,0,200.0,0,1049.0,0,360.0,2400.0,0,0,0,0,6580.0,2400.0,0,1049.0,581.0,2550.0,26.283,26.283,3
3,11,0.0,False,0,0,234.0,15.0,0,160.0,0,1452.0,0,330.0,1685.0,0,0,0,0,6923.0,1685.0,0,1452.0,505.0,3281.0,24.096,24.096,3
4,13,0.0,False,0,0,167.0,16.0,0,200.0,0,1551.0,0,390.0,2214.0,0,0,0,0,6261.0,2214.0,0,1551.0,606.0,1890.0,28.102,28.102,3
5,12,0.0,False,0,0,247.0,20.0,0,180.0,0,1451.0,0,360.0,1678.0,0,0,0,0,6863.0,1678.0,0,1451.0,560.0,3174.0,23.985,23.985,3
