,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,130.0,13917.0,870.0,1530.0,19065.0,29224.0,32641.0,115400.0,510.0,0.0,0.0,0.0,0.0,0.0,13917.0,61865.0,2170.0,100
mean,1.3,139.17,8.7,15.3,190.65,292.24,326.41,1154.0,5.1,0.0,0.0,0.0,0.0,0.0,139.17,618.65,21.7,100
std,4.123105625617667,185.58055535333582,9.17341349506905,15.072551813870746,285.8662672077153,1415.4110808089508,739.5481980728013,1164.1571538189673,5.024183937956917,0.0,0.0,0.0,0.0,0.0,185.58055535333582,1589.599996536832,21.733695851224542,100
