,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,3270.0,39070.0,4400.0,6600.0,172200.0,27016.0,285.0,3672828.0,2200.0,0.0,0.0,0.0,0.0,0.0,39070.0,27301.0,12070.0,500
mean,6.54,78.14,8.8,13.2,344.4,54.032,0.57,7345.656,4.4,0.0,0.0,0.0,0.0,0.0,78.14,54.602,24.14,500
std,7.445755741166522,106.38247441060697,9.937681572180713,14.906522358271069,305.5837083445569,448.94480490557345,10.505323586034587,4094.6177470739935,4.9688407860903565,0.0,0.0,0.0,0.0,0.0,106.38247441060697,449.1060677793526,27.27725237251707,500
