pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
309,15.0,319.0,20.0,30.0,84.0,0.0,9195.0,10.0,0,0,0,0,0,0,319.0,84.0,55.0,False
310,15.0,315.0,35.0,30.0,0.0,9071.0,170.0,10.0,0,0,0,0,0,0,315.0,9071.0,55.0,False
311,15.0,495.0,35.0,30.0,0.0,8893.0,371.0,10.0,0,0,0,0,0,0,495.0,8893.0,55.0,False
312,15.0,474.0,35.0,30.0,256.0,8947.0,337.0,10.0,0,0,0,0,0,0,474.0,9203.0,55.0,False
313,15.0,116.0,35.0,30.0,0.0,9080.0,241.0,10.0,0,0,0,0,0,0,116.0,9080.0,55.0,False
314,15.0,193.0,20.0,30.0,112.0,0.0,9361.0,10.0,0,0,0,0,0,0,193.0,112.0,55.0,False
315,15.0,309.0,20.0,30.0,53.0,0.0,9374.0,10.0,0,0,0,0,0,0,309.0,53.0,55.0,False
316,15.0,526.0,20.0,30.0,109.0,58.0,9452.0,10.0,0,0,0,0,0,0,526.0,167.0,55.0,False
317,15.0,826.0,20.0,30.0,46.0,420.0,9460.0,10.0,0,0,0,0,0,0,826.0,466.0,55.0,False
318,15.0,237.0,20.0,30.0,231.0,7.0,9492.0,10.0,0,0,0,0,0,0,237.0,238.0,55.0,False
319,15.0,734.0,20.0,30.0,296.0,157.0,9513.0,10.0,0,0,0,0,0,0,734.0,453.0,55.0,False
320,15.0,250.0,20.0,30.0,0.0,0.0,9523.0,10.0,0,0,0,0,0,0,250.0,0.0,55.0,False
321,15.0,267.0,17.0,30.0,380.0,9470.0,60.0,10.0,0,0,0,0,0,0,267.0,9850.0,55.0,False
322,15.0,269.0,35.0,30.0,116.0,9492.0,27.0,10.0,0,0,0,0,0,0,269.0,9608.0,55.0,False
323,15.0,31.0,20.0,30.0,55.0,0.0,9542.0,10.0,0,0,0,0,0,0,31.0,55.0,55.0,False
324,15.0,612.0,35.0,30.0,183.0,9512.0,18.0,10.0,0,0,0,0,0,0,612.0,9695.0,55.0,False
325,15.0,815.0,35.0,30.0,194.0,9876.0,105.0,10.0,0,0,0,0,0,0,815.0,10070.0,55.0,False
326,15.0,204.0,20.0,30.0,59.0,0.0,9651.0,10.0,0,0,0,0,0,0,204.0,59.0,55.0,False
327,15.0,183.0,20.0,30.0,157.0,0.0,9678.0,10.0,0,0,0,0,0,0,183.0,157.0,55.0,False
328,15.0,265.0,20.0,30.0,399.0,18.0,9681.0,10.0,0,0,0,0,0,0,265.0,417.0,55.0,False
329,15.0,661.0,35.0,30.0,117.0,9681.0,38.0,10.0,0,0,0,0,0,0,661.0,9798.0,55.0,False
330,15.0,377.0,20.0,30.0,106.0,0.0,9843.0,10.0,0,0,0,0,0,0,377.0,106.0,55.0,False
331,15.0,152.0,20.0,30.0,16.0,14.0,9850.0,10.0,0,0,0,0,0,0,152.0,30.0,55.0,False
332,15.0,29.0,20.0,30.0,0.0,0.0,9878.0,10.0,0,0,0,0,0,0,29.0,0.0,55.0,False
333,15.0,166.0,20.0,30.0,77.0,0.0,9892.0,10.0,0,0,0,0,0,0,166.0,77.0,55.0,False
334,15.0,477.0,35.0,30.0,49.0,9460.0,440.0,10.0,0,0,0,0,0,0,477.0,9509.0,55.0,False
335,15.0,158.0,20.0,30.0,97.0,0.0,9924.0,10.0,0,0,0,0,0,0,158.0,97.0,55.0,False
336,15.0,34.0,35.0,30.0,18.0,9850.0,80.0,10.0,0,0,0,0,0,0,34.0,9868.0,55.0,False
337,15.0,740.0,35.0,30.0,291.0,9652.0,329.0,10.0,0,0,0,0,0,0,740.0,9943.0,55.0,False
338,15.0,308.0,35.0,30.0,513.0,9947.0,69.0,10.0,0,0,0,0,0,0,308.0,10460.0,55.0,False
339,15.0,171.0,20.0,30.0,114.0,0.0,10042.0,10.0,0,0,0,0,0,0,171.0,114.0,55.0,False
340,15.0,157.0,20.0,30.0,38.0,0.0,10066.0,10.0,0,0,0,0,0,0,157.0,38.0,55.0,False
341,15.0,406.0,20.0,26.0,57.0,4.0,10146.0,10.0,0,0,0,0,0,0,406.0,61.0,51.0,False
342,15.0,181.0,20.0,30.0,5.0,0.0,10152.0,10.0,0,0,0,0,0,0,181.0,5.0,55.0,False
343,15.0,239.0,20.0,30.0,121.0,0.0,10164.0,10.0,0,0,0,0,0,0,239.0,121.0,55.0,False
344,15.0,621.0,20.0,30.0,0.0,10.0,10182.0,10.0,0,0,0,0,0,0,621.0,10.0,55.0,False
345,15.0,237.0,20.0,30.0,130.0,0.0,10188.0,10.0,0,0,0,0,0,0,237.0,130.0,55.0,False
346,15.0,7.0,20.0,30.0,16.0,0.0,10197.0,10.0,0,0,0,0,0,0,7.0,16.0,55.0,False
347,15.0,315.0,35.0,30.0,224.0,10146.0,81.0,10.0,0,0,0,0,0,0,315.0,10370.0,55.0,False
348,15.0,303.0,20.0,30.0,52.0,0.0,10246.0,10.0,0,0,0,0,0,0,303.0,52.0,55.0,False
349,15.0,379.0,35.0,30.0,0.0,10182.0,60.0,10.0,0,0,0,0,0,0,379.0,10182.0,55.0,False
