pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
368,15,154,35,30,85,10157,318,10,0,0,0,0,0,0,154,10242,55,FALSE
369,15,37,20,30,0,0,10537,10,0,0,0,0,0,0,37,0,55,FALSE
370,15,192,35,30,221,10461,91,10,0,0,0,0,0,0,192,10682,55,FALSE
371,15,217,20,30,3,0,10632,10,0,0,0,0,0,0,217,3,55,FALSE
372,15,549,20,30,35,62,10639,10,0,0,0,0,0,0,549,97,55,FALSE
373,15,537,20,30,48,89,10658,10,0,0,0,0,0,0,537,137,55,FALSE
374,15,379,35,30,274,10639,82,10,0,0,0,0,0,0,379,10913,55,FALSE
375,15,491,20,30,39,216,10737,10,0,0,0,0,0,0,491,255,55,FALSE
376,15,195,20,30,93,0,10753,10,0,0,0,0,0,0,195,93,55,FALSE
377,15,219,20,30,45,394,10757,10,0,0,0,0,0,0,219,439,55,FALSE
378,15,486,20,30,134,83,10809,10,0,0,0,0,0,0,486,217,55,FALSE
379,15,190,35,30,10,10658,187,10,0,0,0,0,0,0,190,10668,55,FALSE
380,15,165,20,30,22,0,10883,10,0,0,0,0,0,0,165,22,55,FALSE
381,15,123,20,30,64,79,10910,10,0,0,0,0,0,0,123,143,55,FALSE
382,15,563,29,30,154,10815,97,10,0,0,0,0,0,0,563,10969,55,FALSE
383,15,483,35,30,0,10906,6,10,0,0,0,0,0,0,483,10906,55,FALSE
384,15,340,20,30,54,0,10958,10,0,0,0,0,0,0,340,54,55,FALSE
385,15,150,20,30,7,0,11020,10,0,0,0,0,0,0,150,7,55,FALSE
386,15,289,35,30,0,10737,305,10,0,0,0,0,0,0,289,10737,55,FALSE
387,15,528,20,30,105,0,11078,10,0,0,0,0,0,0,528,105,55,FALSE
388,15,178,35,30,8,10910,193,10,0,0,0,0,0,0,178,10918,55,FALSE
389,15,97,20,30,55,0,11125,10,0,0,0,0,0,0,97,55,55,FALSE
390,15,45,20,30,13,0,11172,10,0,0,0,0,0,0,45,13,55,FALSE
391,15,144,20,30,71,0,11201,10,0,0,0,0,0,0,144,71,55,FALSE
392,15,183,20,30,202,0,11211,10,0,0,0,0,0,0,183,202,55,FALSE
393,15,459,20,30,229,0,11258,10,0,0,0,0,0,0,459,229,55,FALSE
394,15,314,35,30,0,10757,489,10,0,0,0,0,0,0,314,10757,55,FALSE
395,15,195,20,30,21,195,11307,10,0,0,0,0,0,0,195,216,55,FALSE
396,15,93,20,30,0,0,11360,10,0,0,0,0,0,0,93,0,55,FALSE
397,15,479,20,30,141,166,11367,10,0,0,0,0,0,0,479,307,55,FALSE
398,15,166,20,30,56,0,11478,10,0,0,0,0,0,0,166,56,55,FALSE
399,15,222,20,30,3,0,11567,10,0,0,0,0,0,0,222,3,55,FALSE
400,15,375,35,30,326,11367,186,10,0,0,0,0,0,0,375,11693,55,FALSE
401,15,404,20,30,26,376,11586,10,0,0,0,0,0,0,404,402,55,FALSE
402,15,71,35,30,34,11307,266,10,0,0,0,0,0,0,71,11341,55,FALSE
403,15,99,20,30,0,0,11655,10,0,0,0,0,0,0,99,0,55,FALSE
404,15,445,20,30,152,157,11743,10,0,0,0,0,0,0,445,309,55,FALSE
405,15,207,20,30,5,0,11757,10,0,0,0,0,0,0,207,5,55,FALSE
406,15,378,20,30,0,0,11763,10,0,0,0,0,0,0,378,0,55,FALSE
407,15,151,20,30,86,0,11802,10,0,0,0,0,0,0,151,86,55,FALSE
408,15,335,20,30,200,0,11864,10,0,0,0,0,0,0,335,200,55,FALSE
409,15,246,20,30,33,0,11890,10,0,0,0,0,0,0,246,33,55,FALSE
410,15,277,20,30,36,0,11900,10,0,0,0,0,0,0,277,36,55,FALSE
411,15,73,20,30,32,0,11974,10,0,0,0,0,0,0,73,32,55,FALSE
412,15,221,20,30,16,0,12018,10,0,0,0,0,0,0,221,16,55,FALSE
413,15,362,35,30,0,11586,452,10,0,0,0,0,0,0,362,11586,55,FALSE
414,15,460,8,30,163,12,12057,10,0,0,0,0,0,0,460,175,55,FALSE
415,15,345,20,30,0,222,12069,10,0,0,0,0,0,0,345,222,55,FALSE
416,15,127,20,30,43,0,12075,10,0,0,0,0,0,0,127,43,55,FALSE
417,15,385,35,30,390,12057,12,10,0,0,0,0,0,0,385,12447,55,FALSE
418,15,123,20,30,23,0,12099,10,0,0,0,0,0,0,123,23,55,FALSE
419,15,411,35,30,8,11743,359,10,0,0,0,0,0,0,411,11751,55,FALSE
420,15,550,20,30,113,29,12133,10,0,0,0,0,0,0,550,142,55,FALSE
421,15,58,20,30,0,0,12144,10,0,0,0,0,0,0,58,0,55,FALSE
422,15,277,20,30,190,0,12176,10,0,0,0,0,0,0,277,190,55,FALSE
423,4,202,20,30,175,11,12187,10,0,0,0,0,0,0,202,186,44,FALSE
424,15,488,35,30,225,12133,49,10,0,0,0,0,0,0,488,12358,55,FALSE
425,4,288,31,30,23,12187,11,10,0,0,0,0,0,0,288,12210,44,FALSE
426,15,304,6,30,494,14,12216,10,0,0,0,0,0,0,304,508,55,FALSE
427,15,638,35,30,298,12216,14,10,0,0,0,0,0,0,638,12514,55,FALSE
428,15,2,20,30,4,0,12278,10,0,0,0,0,0,0,2,4,55,FALSE
429,15,390,20,30,208,0,12286,10,0,0,0,0,0,0,390,208,55,FALSE
430,15,150,20,30,0,0,12334,10,0,0,0,0,0,0,150,0,55,FALSE
