pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
267,15.0,556.0,20.0,30.0,116.0,33.0,7826.0,10.0,0,0,0,0,0,0,556.0,149.0,55.0,False
268,15.0,147.0,20.0,30.0,37.0,0.0,7839.0,10.0,0,0,0,0,0,0,147.0,37.0,55.0,False
269,15.0,251.0,20.0,30.0,95.0,0.0,7903.0,10.0,0,0,0,0,0,0,251.0,95.0,55.0,False
270,15.0,389.0,35.0,30.0,0.0,7380.0,577.0,10.0,0,0,0,0,0,0,389.0,7380.0,55.0,False
271,15.0,196.0,35.0,30.0,99.0,7826.0,199.0,10.0,0,0,0,0,0,0,196.0,7925.0,55.0,False
272,15.0,225.0,20.0,30.0,9980.0,0.0,8050.0,10.0,0,0,0,0,0,0,225.0,9980.0,55.0,False
273,15.0,249.0,20.0,30.0,7.0,0.0,8064.0,10.0,0,0,0,0,0,0,249.0,7.0,55.0,False
274,15.0,122.0,20.0,30.0,115.0,0.0,8133.0,10.0,0,0,0,0,0,0,122.0,115.0,55.0,False
275,15.0,659.0,20.0,30.0,10.0,38.0,8264.0,10.0,0,0,0,0,0,0,659.0,48.0,55.0,False
276,15.0,90.0,20.0,30.0,83.0,0.0,8290.0,10.0,0,0,0,0,0,0,90.0,83.0,55.0,False
277,15.0,338.0,20.0,30.0,198.0,0.0,8331.0,10.0,0,0,0,0,0,0,338.0,198.0,55.0,False
278,15.0,434.0,20.0,30.0,204.0,0.0,8349.0,10.0,0,0,0,0,0,0,434.0,204.0,55.0,False
279,15.0,477.0,20.0,30.0,79.0,0.0,8351.0,10.0,0,0,0,0,0,0,477.0,79.0,55.0,False
280,15.0,337.0,20.0,30.0,114.0,0.0,8356.0,10.0,0,0,0,0,0,0,337.0,114.0,55.0,False
281,15.0,319.0,35.0,30.0,82.0,8264.0,98.0,10.0,0,0,0,0,0,0,319.0,8346.0,55.0,False
282,15.0,338.0,20.0,30.0,37.0,24.0,8397.0,10.0,0,0,0,0,0,0,338.0,61.0,55.0,False
283,15.0,323.0,20.0,30.0,214.0,10.0,8486.0,10.0,0,0,0,0,0,0,323.0,224.0,55.0,False
284,15.0,232.0,35.0,30.0,118.0,8397.0,111.0,10.0,0,0,0,0,0,0,232.0,8515.0,55.0,False
285,15.0,251.0,35.0,30.0,276.0,8486.0,30.0,10.0,0,0,0,0,0,0,251.0,8762.0,55.0,False
286,15.0,182.0,20.0,30.0,78.0,7.0,8558.0,10.0,0,0,0,0,0,0,182.0,85.0,55.0,False
287,15.0,283.0,35.0,30.0,0.0,8558.0,27.0,10.0,0,0,0,0,0,0,283.0,8558.0,55.0,False
288,15.0,193.0,20.0,19.0,78.0,11.0,8618.0,10.0,0,0,0,0,0,0,193.0,89.0,44.0,False
289,15.0,86.0,20.0,30.0,48.0,0.0,8640.0,10.0,0,0,0,0,0,0,86.0,48.0,55.0,False
290,15.0,522.0,20.0,30.0,238.0,34.0,8701.0,10.0,0,0,0,0,0,0,522.0,272.0,55.0,False
291,15.0,691.0,20.0,30.0,39.0,118.0,8708.0,10.0,0,0,0,0,0,0,691.0,157.0,55.0,False
