pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
419,15.0,351.0,20.0,30.0,14.0,0.0,11597.0,10.0,0,0,0,0,0,0,351.0,14.0,55.0,False
420,15.0,378.0,20.0,30.0,220.0,0.0,11638.0,10.0,0,0,0,0,0,0,378.0,220.0,55.0,False
421,15.0,361.0,35.0,30.0,0.0,11464.0,183.0,10.0,0,0,0,0,0,0,361.0,11464.0,55.0,False
422,15.0,445.0,35.0,30.0,100.0,11584.0,68.0,10.0,0,0,0,0,0,0,445.0,11684.0,55.0,False
423,15.0,556.0,35.0,30.0,39.0,11581.0,164.0,10.0,0,0,0,0,0,0,556.0,11620.0,55.0,False
424,15.0,172.0,35.0,30.0,0.0,11449.0,322.0,10.0,0,0,0,0,0,0,172.0,11449.0,55.0,False
425,15.0,63.0,20.0,30.0,76.0,0.0,11912.0,10.0,0,0,0,0,0,0,63.0,76.0,55.0,False
426,15.0,235.0,20.0,30.0,103.0,0.0,11913.0,10.0,0,0,0,0,0,0,235.0,103.0,55.0,False
427,15.0,293.0,20.0,30.0,112.0,51.0,11930.0,10.0,0,0,0,0,0,0,293.0,163.0,55.0,False
428,15.0,37.0,20.0,30.0,24.0,0.0,11962.0,10.0,0,0,0,0,0,0,37.0,24.0,55.0,False
429,15.0,391.0,20.0,30.0,3.0,68.0,11982.0,10.0,0,0,0,0,0,0,391.0,71.0,55.0,False
430,15.0,197.0,20.0,30.0,139.0,0.0,12010.0,10.0,0,0,0,0,0,0,197.0,139.0,55.0,False
431,15.0,456.0,20.0,18.0,34.0,12.0,12041.0,10.0,0,0,0,0,0,0,456.0,46.0,43.0,False
432,15.0,274.0,35.0,30.0,51.0,11982.0,88.0,10.0,0,0,0,0,0,0,274.0,12033.0,55.0,False
433,15.0,174.0,35.0,30.0,76.0,12041.0,66.0,10.0,0,0,0,0,0,0,174.0,12117.0,55.0,False
434,15.0,346.0,35.0,30.0,65.0,11930.0,213.0,10.0,0,0,0,0,0,0,346.0,11995.0,55.0,False
435,15.0,410.0,20.0,30.0,205.0,75.0,12268.0,10.0,0,0,0,0,0,0,410.0,280.0,55.0,False
436,15.0,264.0,20.0,30.0,190.0,0.0,12309.0,10.0,0,0,0,0,0,0,264.0,190.0,55.0,False
437,15.0,117.0,20.0,30.0,0.0,0.0,12356.0,10.0,0,0,0,0,0,0,117.0,0.0,55.0,False
438,15.0,194.0,20.0,30.0,0.0,0.0,12361.0,10.0,0,0,0,0,0,0,194.0,0.0,55.0,False
439,15.0,521.0,35.0,30.0,413.0,12268.0,95.0,10.0,0,0,0,0,0,0,521.0,12681.0,55.0,False
440,15.0,637.0,20.0,3.0,196.0,27.0,12384.0,10.0,0,0,0,0,0,0,637.0,223.0,28.0,False
441,15.0,193.0,20.0,30.0,0.0,0.0,12394.0,10.0,0,0,0,0,0,0,193.0,0.0,55.0,False
442,15.0,1157.0,20.0,30.0,83.0,457.0,12525.0,10.0,0,0,0,0,0,0,1157.0,540.0,55.0,False
443,15.0,168.0,20.0,30.0,10.0,16.0,12531.0,10.0,0,0,0,0,0,0,168.0,26.0,55.0,False
444,15.0,355.0,20.0,30.0,71.0,41.0,12576.0,10.0,0,0,0,0,0,0,355.0,112.0,55.0,False
445,15.0,42.0,20.0,30.0,123.0,0.0,12584.0,10.0,0,0,0,0,0,0,42.0,123.0,55.0,False
446,15.0,256.0,35.0,30.0,87.0,12531.0,76.0,10.0,0,0,0,0,0,0,256.0,12618.0,55.0,False
