pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
73,0.0,0.0,0.0,0.0,195.0,0.0,0.0,4582.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
74,0.0,181.0,20.0,30.0,0.0,133.0,44.0,4632.0,10.0,0,0,0,0,0,181.0,177.0,40.0,False
75,15.0,121.0,20.0,30.0,0.0,392.0,0.0,4877.0,10.0,0,0,0,0,0,121.0,392.0,55.0,False
76,0.0,308.0,20.0,30.0,0.0,41.0,265.0,4904.0,10.0,0,0,0,0,0,308.0,306.0,40.0,False
77,15.0,137.0,20.0,30.0,0.0,238.0,0.0,5062.0,10.0,0,0,0,0,0,137.0,238.0,55.0,False
78,0.0,289.0,35.0,30.0,0.0,98.0,5135.0,19.0,10.0,0,0,0,0,0,289.0,5233.0,40.0,False
79,0.0,358.0,20.0,30.0,0.0,38.0,166.0,5110.0,10.0,0,0,0,0,0,358.0,204.0,40.0,False
80,0.0,178.0,20.0,30.0,0.0,274.0,39.0,5150.0,10.0,0,0,0,0,0,178.0,313.0,40.0,False
81,0.0,0.0,0.0,0.0,195.0,0.0,0.0,5239.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
82,0.0,122.0,20.0,30.0,0.0,273.0,143.0,5322.0,10.0,0,0,0,0,0,122.0,416.0,40.0,False
83,15.0,150.0,20.0,30.0,0.0,215.0,0.0,5616.0,10.0,0,0,0,0,0,150.0,215.0,55.0,False
84,15.0,277.0,20.0,30.0,0.0,244.0,0.0,5634.0,10.0,0,0,0,0,0,277.0,244.0,55.0,False
85,15.0,440.0,20.0,30.0,0.0,195.0,0.0,5891.0,10.0,0,0,0,0,0,440.0,195.0,55.0,False
86,15.0,71.0,20.0,30.0,0.0,290.0,0.0,5947.0,10.0,0,0,0,0,0,71.0,290.0,55.0,False
87,15.0,524.0,20.0,30.0,0.0,0.0,85.0,6091.0,10.0,0,0,0,0,0,524.0,85.0,55.0,False
88,15.0,560.0,20.0,30.0,0.0,19.0,357.0,6123.0,10.0,0,0,0,0,0,560.0,376.0,55.0,False
89,15.0,371.0,35.0,30.0,0.0,202.0,6091.0,135.0,10.0,0,0,0,0,0,371.0,6293.0,55.0,False
90,15.0,160.0,20.0,30.0,0.0,356.0,0.0,6283.0,10.0,0,0,0,0,0,160.0,356.0,55.0,False
