pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
333,15.0,239.0,20.0,30.0,0.0,0.0,9526.0,10.0,0,0,0,0,0,0,239.0,0.0,55.0,False
334,15.0,184.0,20.0,30.0,0.0,0.0,9543.0,10.0,0,0,0,0,0,0,184.0,0.0,55.0,False
335,15.0,212.0,20.0,30.0,7.0,86.0,9558.0,10.0,0,0,0,0,0,0,212.0,93.0,55.0,False
336,15.0,426.0,20.0,30.0,104.0,358.0,9584.0,10.0,0,0,0,0,0,0,426.0,462.0,55.0,False
337,15.0,148.0,20.0,30.0,107.0,0.0,9601.0,10.0,0,0,0,0,0,0,148.0,107.0,55.0,False
338,15.0,201.0,20.0,30.0,17.0,0.0,9627.0,10.0,0,0,0,0,0,0,201.0,17.0,55.0,False
339,15.0,323.0,20.0,30.0,62.0,46.0,9644.0,10.0,0,0,0,0,0,0,323.0,108.0,55.0,False
340,10.0,389.0,20.0,30.0,105.0,5.0,9645.0,10.0,0,0,0,0,0,0,389.0,110.0,50.0,False
341,10.0,131.0,25.0,30.0,242.0,9645.0,5.0,10.0,0,0,0,0,0,0,131.0,9887.0,50.0,False
342,15.0,116.0,20.0,30.0,11.0,0.0,9653.0,10.0,0,0,0,0,0,0,116.0,11.0,55.0,False
343,15.0,433.0,20.0,30.0,95.0,393.0,9653.0,10.0,0,0,0,0,0,0,433.0,488.0,55.0,False
344,15.0,263.0,35.0,30.0,0.0,9558.0,143.0,10.0,0,0,0,0,0,0,263.0,9558.0,55.0,False
345,15.0,302.0,35.0,30.0,143.0,9644.0,66.0,10.0,0,0,0,0,0,0,302.0,9787.0,55.0,False
346,15.0,68.0,20.0,30.0,0.0,0.0,9746.0,10.0,0,0,0,0,0,0,68.0,0.0,55.0,False
347,15.0,130.0,20.0,30.0,45.0,0.0,9804.0,10.0,0,0,0,0,0,0,130.0,45.0,55.0,False
348,15.0,48.0,20.0,30.0,105.0,0.0,9926.0,10.0,0,0,0,0,0,0,48.0,105.0,55.0,False
349,15.0,103.0,20.0,30.0,23.0,0.0,9931.0,10.0,0,0,0,0,0,0,103.0,23.0,55.0,False
350,15.0,279.0,20.0,30.0,0.0,0.0,9958.0,10.0,0,0,0,0,0,0,279.0,0.0,55.0,False
351,15.0,161.0,20.0,30.0,81.0,0.0,9962.0,10.0,0,0,0,0,0,0,161.0,81.0,55.0,False
352,15.0,557.0,35.0,30.0,0.0,9584.0,378.0,10.0,0,0,0,0,0,0,557.0,9584.0,55.0,False
353,15.0,232.0,20.0,30.0,132.0,0.0,9986.0,10.0,0,0,0,0,0,0,232.0,132.0,55.0,False
354,15.0,152.0,20.0,30.0,12.0,0.0,10004.0,10.0,0,0,0,0,0,0,152.0,12.0,55.0,False
355,15.0,520.0,35.0,30.0,0.0,9653.0,413.0,10.0,0,0,0,0,0,0,520.0,9653.0,55.0,False
356,15.0,120.0,20.0,30.0,32.0,0.0,10167.0,10.0,0,0,0,0,0,0,120.0,32.0,55.0,False
357,15.0,275.0,20.0,30.0,220.0,105.0,10223.0,10.0,0,0,0,0,0,0,275.0,325.0,55.0,False
358,15.0,280.0,20.0,30.0,7.0,0.0,10237.0,10.0,0,0,0,0,0,0,280.0,7.0,55.0,False
359,15.0,163.0,20.0,30.0,34.0,0.0,10252.0,10.0,0,0,0,0,0,0,163.0,34.0,55.0,False
360,15.0,181.0,20.0,30.0,40.0,0.0,10261.0,10.0,0,0,0,0,0,0,181.0,40.0,55.0,False
361,15.0,104.0,35.0,30.0,206.0,10223.0,375.0,10.0,0,0,0,0,0,0,104.0,10429.0,55.0,False
362,15.0,320.0,20.0,30.0,3.0,347.0,10650.0,10.0,0,0,0,0,0,0,320.0,350.0,55.0,False
363,15.0,515.0,35.0,30.0,103.0,10860.0,22.0,10.0,0,0,0,0,0,0,515.0,10963.0,55.0,False
364,15.0,356.0,20.0,30.0,10.0,0.0,10703.0,10.0,0,0,0,0,0,0,356.0,10.0,55.0,False
365,15.0,172.0,20.0,30.0,6.0,0.0,10745.0,10.0,0,0,0,0,0,0,172.0,6.0,55.0,False
366,15.0,317.0,20.0,30.0,0.0,0.0,10858.0,10.0,0,0,0,0,0,0,317.0,0.0,55.0,False
367,15.0,135.0,20.0,30.0,154.0,0.0,10871.0,10.0,0,0,0,0,0,0,135.0,154.0,55.0,False
368,15.0,77.0,20.0,30.0,10.0,0.0,10902.0,10.0,0,0,0,0,0,0,77.0,10.0,55.0,False
369,15.0,419.0,20.0,30.0,0.0,81.0,10903.0,10.0,0,0,0,0,0,0,419.0,81.0,55.0,False
370,15.0,295.0,20.0,30.0,124.0,0.0,10915.0,10.0,0,0,0,0,0,0,295.0,124.0,55.0,False
371,15.0,622.0,20.0,30.0,105.0,63.0,10995.0,10.0,0,0,0,0,0,0,622.0,168.0,55.0,False
372,15.0,141.0,35.0,30.0,8.0,10903.0,131.0,10.0,0,0,0,0,0,0,141.0,10911.0,55.0,False
373,15.0,610.0,35.0,30.0,0.0,10672.0,378.0,10.0,0,0,0,0,0,0,610.0,10672.0,55.0,False
374,15.0,136.0,20.0,30.0,0.0,0.0,11076.0,10.0,0,0,0,0,0,0,136.0,0.0,55.0,False
375,15.0,133.0,20.0,30.0,43.0,0.0,11123.0,10.0,0,0,0,0,0,0,133.0,43.0,55.0,False
376,15.0,224.0,20.0,30.0,21.0,0.0,11148.0,10.0,0,0,0,0,0,0,224.0,21.0,55.0,False
377,15.0,542.0,20.0,30.0,52.0,78.0,11148.0,10.0,0,0,0,0,0,0,542.0,130.0,55.0,False
378,15.0,235.0,35.0,30.0,290.0,10995.0,218.0,10.0,0,0,0,0,0,0,235.0,11285.0,55.0,False
379,15.0,191.0,35.0,30.0,232.0,11148.0,98.0,10.0,0,0,0,0,0,0,191.0,11380.0,55.0,False
380,15.0,484.0,20.0,30.0,74.0,48.0,11265.0,10.0,0,0,0,0,0,0,484.0,122.0,55.0,False
381,15.0,676.0,20.0,7.0,148.0,235.0,11296.0,10.0,0,0,0,0,0,0,676.0,383.0,32.0,False
382,15.0,172.0,20.0,30.0,271.0,0.0,11344.0,10.0,0,0,0,0,0,0,172.0,271.0,55.0,False
383,15.0,149.0,35.0,30.0,246.0,11265.0,68.0,10.0,0,0,0,0,0,0,149.0,11511.0,55.0,False
384,15.0,103.0,20.0,30.0,136.0,0.0,11402.0,10.0,0,0,0,0,0,0,103.0,136.0,55.0,False
385,15.0,215.0,20.0,30.0,15.0,0.0,11469.0,10.0,0,0,0,0,0,0,215.0,15.0,55.0,False
386,15.0,86.0,20.0,30.0,69.0,0.0,11472.0,10.0,0,0,0,0,0,0,86.0,69.0,55.0,False
387,15.0,332.0,20.0,30.0,105.0,97.0,11481.0,10.0,0,0,0,0,0,0,332.0,202.0,55.0,False
388,15.0,16.0,20.0,30.0,0.0,0.0,11482.0,10.0,0,0,0,0,0,0,16.0,0.0,55.0,False
389,15.0,577.0,20.0,30.0,0.0,17.0,11507.0,10.0,0,0,0,0,0,0,577.0,17.0,55.0,False
390,15.0,368.0,35.0,30.0,222.0,11432.0,232.0,10.0,0,0,0,0,0,0,368.0,11654.0,55.0,False
391,15.0,176.0,35.0,30.0,0.0,11507.0,67.0,10.0,0,0,0,0,0,0,176.0,11507.0,55.0,False
392,15.0,390.0,35.0,30.0,152.0,11481.0,117.0,10.0,0,0,0,0,0,0,390.0,11633.0,55.0,False
393,15.0,534.0,11.0,30.0,346.0,9.0,11630.0,10.0,0,0,0,0,0,0,534.0,355.0,55.0,False
394,15.0,544.0,35.0,30.0,130.0,11630.0,9.0,10.0,0,0,0,0,0,0,544.0,11760.0,55.0,False
395,15.0,236.0,20.0,30.0,151.0,60.0,11683.0,10.0,0,0,0,0,0,0,236.0,211.0,55.0,False
396,15.0,231.0,35.0,30.0,441.0,11528.0,171.0,10.0,0,0,0,0,0,0,231.0,11969.0,55.0,False
397,15.0,609.0,20.0,30.0,556.0,0.0,11720.0,10.0,0,0,0,0,0,0,609.0,556.0,55.0,False
398,15.0,66.0,20.0,30.0,0.0,0.0,11725.0,10.0,0,0,0,0,0,0,66.0,0.0,55.0,False
399,15.0,549.0,20.0,30.0,47.0,21.0,11762.0,10.0,0,0,0,0,0,0,549.0,68.0,55.0,False
400,15.0,52.0,20.0,30.0,102.0,0.0,11771.0,10.0,0,0,0,0,0,0,52.0,102.0,55.0,False
401,15.0,126.0,20.0,30.0,41.0,0.0,11816.0,10.0,0,0,0,0,0,0,126.0,41.0,55.0,False
402,15.0,60.0,20.0,30.0,6.0,0.0,11848.0,10.0,0,0,0,0,0,0,60.0,6.0,55.0,False
403,15.0,145.0,20.0,30.0,108.0,0.0,11861.0,10.0,0,0,0,0,0,0,145.0,108.0,55.0,False
404,15.0,178.0,20.0,30.0,112.0,0.0,11888.0,10.0,0,0,0,0,0,0,178.0,112.0,55.0,False
405,15.0,119.0,35.0,30.0,30.0,11762.0,118.0,10.0,0,0,0,0,0,0,119.0,11792.0,55.0,False
406,15.0,164.0,20.0,30.0,0.0,362.0,11907.0,10.0,0,0,0,0,0,0,164.0,362.0,55.0,False
407,15.0,421.0,20.0,30.0,21.0,77.0,11956.0,10.0,0,0,0,0,0,0,421.0,98.0,55.0,False
408,15.0,283.0,35.0,30.0,0.0,11683.0,261.0,10.0,0,0,0,0,0,0,283.0,11683.0,55.0,False
