,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,4455.0,85976.0,6927.0,8918.0,46845.0,479547.0,1621922.0,2990.0,0.0,0.0,0.0,0.0,0.0,0.0,85976.0,526392.0,16363.0,2.0,300
mean,14.85,286.58666666666664,23.09,29.726666666666667,156.15,1598.49,5406.406666666667,9.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,286.58666666666664,1754.64,54.54333333333334,0.006666666666666667,300
std,1.0730040972159147,175.61390406197486,6.808555015910665,2.5284909419852046,794.6585439703123,3493.035877577002,4771.459441859123,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,175.61390406197486,3648.026501399954,3.1263454182912125,0.0815130058495636,300
