,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,300.0,0.0,0.0,0.0,0.0,396012.0,3288.0,0.0,9747.0,0.0,32952.0,0.0,8942.0,59365.0,0.0,0.0,0.0,0.0,353654.0,59365.0,0.0,32952.0,21977.0,239360.0,799.712,9861.0,98.60999999999999,92317.0,923.1700000000001,148.14600000000002,29.629200000000004,118.51679999999999,329.52,428.13,21.4065,97.1103,40
mean,7.5,0.0,0.0,0.0,0.0,9900.3,82.2,0.0,243.675,0.0,823.8,0.0,223.55,1484.125,0.0,0.0,0.0,0.0,8841.35,1484.125,0.0,823.8,549.425,5984.0,19.9928,246.525,2.4652499999999997,2307.925,23.079250000000002,3.7036500000000006,0.7407300000000001,2.9629199999999996,8.238,10.70325,0.5351625,2.4277575,40
std,3.4566917636257286,0.0,0.0,0.0,0.0,2538.140427708686,38.21343568257984,0.0,158.5448876824996,0.0,1607.6121996972358,0.0,102.67422965816415,721.6109182292714,0.0,0.0,0.0,0.0,2850.060769032739,721.6109182292714,0.0,1607.6121996972358,280.12642635708215,4279.979618930625,10.440569942690155,111.62873159697156,1.1162873159697158,1909.9190261732203,19.0991902617322,1.6745964198071037,0.3349192839614208,1.339677135845683,16.076121996972358,16.08800387412454,0.804400193706227,1.5311826856601352,40
