,100,200,300,400,500
10,1.30621967,1.450200246,1.488825545,1.509366637,1.611754929
20,1.172109773,1.377825357,1.581534247,1.578218308,1.628814582
30,1.161736361,1.403292391,1.518056411,1.54108584,1.717266892
40,1.276049492,1.362347663,1.553679521,1.533638936,1.639699357
50,1.231054978,1.349929939,1.455441606,1.492832394,1.533621583
