,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,510.0,56600.0,3710.0,4976.0,202950.0,62411.0,113043.0,836459.0,1650.0,0.0,0.0,0.0,0.0,0.0,56600.0,175454.0,7136.0,335.0,500
mean,1.02,113.2,7.42,9.952,405.9,124.822,226.086,1672.918,3.3,0.0,0.0,0.0,0.0,0.0,113.2,350.908,14.272,0.67,500
std,3.779970416908763,195.07463244729925,10.823395575491414,14.119362904098589,291.62266296553537,217.29128219658807,560.3329480132847,1029.8867144327721,4.706836370348396,0.0,0.0,0.0,0.0,0.0,195.07463244729925,693.4545189669986,20.535174769297956,0.4706836370348396,500
