,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,23.0,0.0,0.0,0.0,0.0,290.0,75.0,0.0,900.0,0.0,2402.0,14400.0,720.0,3973.0,0.0,0.0,0.0,0.0,9406.0,3973.0,14400.0,2402.0,1695.0,-13064.0,88.281,17.8512,5
mean,4.6,0.0,0.0,0.0,0.0,58.0,15.0,0.0,180.0,0.0,480.4,2880.0,144.0,794.6,0.0,0.0,0.0,0.0,1881.2,794.6,2880.0,480.4,339.0,-2612.8,17.656200000000002,3.5702399999999996,5
std,1.51657508881031,0.0,0.0,0.0,0.0,25.089838580588754,0.0,0.0,116.91663696839727,0.0,139.2418758850943,1609.9689437998486,39.11521443121589,260.94884556173076,0.0,0.0,0.0,0.0,4206.491079272604,260.94884556173076,1609.9689437998486,139.2418758850943,146.11468098723003,5966.317683462723,7.374362935196504,1.0845050705275656,5
