,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,150.0,8058.0,683.0,720.0,166050.0,3916.0,9506.0,543621.0,230.0,0.0,0.0,0.0,0.0,0.0,8058.0,13422.0,1100.0,300
mean,0.5,26.86,2.276666666666667,2.4,553.5,13.053333333333333,31.686666666666667,1812.07,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,26.86,44.74,3.6666666666666665,300
std,2.6970812912551962,102.4916363338719,7.072022381003443,8.152394645841092,184.8082708916637,52.18519718181813,113.74719000045181,1022.199778119698,2.6650636207348035,0.0,0.0,0.0,0.0,0.0,102.4916363338719,144.60419650025705,12.659242088545833,300
