,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,150.0,14424.0,1235.0,1556.0,91020.0,6621.0,40899.0,358185.0,520.0,0.0,0.0,0.0,0.0,0.0,14424.0,47520.0,2226.0,200
mean,0.75,72.12,6.175,7.78,455.1,33.105,204.495,1790.925,2.6,0.0,0.0,0.0,0.0,0.0,72.12,237.6,11.13,200
std,3.2773779199461806,154.55982432858295,10.95877955094595,13.161219109269894,270.4369997878829,80.40446733132538,588.029312480835,1098.7597162003726,4.3973495900468755,0.0,0.0,0.0,0.0,0.0,154.55982432858295,629.0339406522213,19.070171925979906,200
