,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,99.0,0.0,0.0,0.0,0.0,27635.0,949.0,0.0,4297.0,0.0,13022.0,0.0,2965.0,19652.0,0.0,0.0,0.0,0.0,138526.0,19652.0,0.0,13022.0,8211.0,97641.0,289.88900000000007,78.3234,20
mean,4.95,0.0,0.0,0.0,0.0,1381.75,47.45,0.0,214.85,0.0,651.1,0.0,148.25,982.6,0.0,0.0,0.0,0.0,6926.3,982.6,0.0,651.1,410.55,4882.05,14.494450000000004,3.91617,20
std,2.6650762801367183,0.0,0.0,0.0,0.0,640.2723002137861,23.86469535130349,0.0,199.29910740022473,0.0,347.9217849187553,0.0,79.55922983935666,510.40369987109733,0.0,0.0,0.0,0.0,1843.0015306844602,510.40369987109733,0.0,347.9217849187553,284.628192375135,2290.6244488762172,8.426576388364813,2.611181436599553,20
