,100,200,300,400,500
10,1.242792178,1.32214167,1.63218638,1.736607595,1.600646488
20,1.257561825,1.293735864,1.18823268,1.542099561,1.673740134
30,1.205008232,1.37094187,1.215648985,1.525246213,1.63882861
40,1.174260462,1.337430591,1.071673749,1.538248542,1.737493325
50,1.118697256,1.299528795,1.149372368,1.511259462,1.632831759
