0,100,200,300,400,500
10,6.174,12.9645,10.478,14.6585,16.831
20,4.6545,6.735,8.5485,11.344,11.7835
30,5.361,8.15,8.0795,16.2485,10.1845
40,6.1975,7.8685,9.7385,15.7065,19
50,7.5195,16.9065,11.4275,9.858,15.9195
