0,100,200,300,400,500
10,9.932,8.8435,13.998,12.5985,17.0875
20,5.549,16.871,10.318,22.2685,21.939
30,5.4795,17.6335,8.579,15.8195,21.7395
40,7.3135,19.3945,14.406,13.9835,15
50,9.0305,15.58,12.4295,11.78,11.007
