,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,3000.0,57206.0,4540.0,5942.0,10874.0,289206.0,1204030.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,57206.0,300080.0,10942.0,1.0,200
mean,15.0,286.03,22.7,29.71,54.37,1446.03,6020.15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,286.03,1500.4,54.71,0.005,200
std,0.0,147.9731372470479,6.121056827331134,2.632594302929925,74.92987073015802,3344.7028244703743,4689.460172669694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.9731372470479,3355.525863273219,2.632594302929925,0.07071067811865478,200
