,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,301.0,21206.0,1560.0,2070.0,18450.0,10618.0,38724.0,144895.0,690.0,0.0,0.0,0.0,0.0,0.0,21206.0,49342.0,3061.0,100
mean,3.01,212.06,15.6,20.7,184.5,106.18,387.24,1448.95,6.9,0.0,0.0,0.0,0.0,0.0,212.06,493.42,30.61,100
std,5.943326620095121,201.0155941485861,11.531248716843157,13.944695961351956,283.24820468018055,136.35273478309222,691.2438228485391,997.3418243744039,4.648231987117318,0.0,0.0,0.0,0.0,0.0,201.0155941485861,744.1384711479607,21.36403803619815,100
