,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,299.0,0.0,0.0,0.0,0.0,471404.0,3239.0,0.0,10632.0,0.0,44519.0,0.0,8880.0,58698.0,0.0,0.0,0.0,0.0,482149.0,58698.0,0.0,44519.0,22751.0,356181.0,805.836,11645.0,116.45,103217.0,1032.17,175.044,35.0088,140.0352,445.1900000000001,561.64,28.082000000000004,111.9532,50
mean,5.98,0.0,0.0,0.0,0.0,9428.08,64.78,0.0,212.64,0.0,890.38,0.0,177.6,1173.96,0.0,0.0,0.0,0.0,9642.98,1173.96,0.0,890.38,455.02,7123.62,16.11672,232.9,2.329,2064.34,20.6434,3.5008800000000004,0.700176,2.800704,8.903800000000002,11.2328,0.5616400000000001,2.239064,50
std,4.068244368876821,0.0,0.0,0.0,0.0,3349.1988493138024,39.144051076681855,0.0,180.97477104586164,0.0,2023.943240411688,0.0,119.85518472774737,786.9520629541263,0.0,0.0,0.0,0.0,4183.406577351593,786.9520629541263,0.0,2023.943240411688,328.4404391070264,5934.79889757807,11.792190179356949,114.0909501141926,1.140909501141926,2231.240550062879,22.31240550062879,1.7116728348225276,0.34233456696450554,1.3693382678580222,20.23943240411688,20.16080052265499,1.0080400261327493,1.7329149653242937,50
