,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,5842.0,116665.0,6950.0,12000.0,120905.0,728944.0,2046652.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,116665.0,849849.0,21842.0,400
mean,14.605,291.6625,17.375,30.0,302.2625,1822.36,5116.63,10.0,0.0,0.0,0.0,0.0,0.0,0.0,291.6625,2124.6225,54.605,400
std,2.3543220001097263,169.37662085713742,4.405439221785055,0.0,1126.644252536346,3863.6051749330472,4686.3196634534215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.37662085713742,4073.727765174748,2.3543220001097254,400
