,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,2775.0,36311.0,3740.0,5550.0,130995.0,17209.0,224.0,2893105.0,1850.0,0.0,0.0,0.0,0.0,0.0,36311.0,17433.0,10175.0,400
mean,6.9375,90.7775,9.35,13.875,327.4875,43.0225,0.56,7232.7625,4.625,0.0,0.0,0.0,0.0,0.0,90.7775,43.5825,25.4375,400
std,7.488242664035983,127.00655359227913,9.991349642023991,14.976485328071966,307.2340014922377,72.29095343555483,9.334035061339538,4259.461207775593,4.9921617760239885,0.0,0.0,0.0,0.0,0.0,127.00655359227913,74.85912044322879,27.34713436807161,400
