,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,300.0,0.0,0.0,0.0,0.0,321900.0,3195.0,0.0,4090.0,0.0,34524.0,0.0,9000.0,56613.0,0.0,0.0,0.0,0.0,650628.0,56613.0,0.0,34524.0,16285.0,543206.0,803.639,803.639,50
mean,6.0,0.0,0.0,0.0,0.0,6438.0,63.9,0.0,81.8,0.0,690.48,0.0,180.0,1132.26,0.0,0.0,0.0,0.0,13012.56,1132.26,0.0,690.48,325.7,10864.12,16.07278,16.07278,50
std,4.973398624436917,0.0,0.0,0.0,0.0,4951.331645247013,52.2092532263102,0.0,66.61463956279904,0.0,702.1949331073477,0.0,149.20195873310752,1000.1019501092101,0.0,0.0,0.0,0.0,6112.933305571668,1000.1019501092101,0.0,702.1949331073477,266.0351557250145,7593.632672771285,14.762860506635137,14.762860506635137,50
