,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,400.0,0.0,0.0,0.0,0.0,236183.0,4147.0,0.0,15877.0,0.0,37295.0,0.0,11714.0,77445.0,0.0,0.0,0.0,0.0,265309.0,77445.0,0.0,37295.0,31738.0,118831.0,1118.763,9105.0,91.05,114740.0,1147.3999999999999,136.80749999999998,27.3615,109.446,372.94999999999993,463.99999999999994,23.199999999999996,86.24599999999998,30
mean,13.333333333333334,0.0,0.0,0.0,0.0,7872.766666666666,138.23333333333332,0.0,529.2333333333333,0.0,1243.1666666666667,0.0,390.46666666666664,2581.5,0.0,0.0,0.0,0.0,8843.633333333333,2581.5,0.0,1243.1666666666667,1057.9333333333334,3961.0333333333333,37.2921,303.5,3.0349999999999997,3824.6666666666665,38.24666666666666,4.560249999999999,0.91205,3.6482,12.431666666666665,15.466666666666665,0.7733333333333332,2.8748666666666662,30
std,6.070467421265326,0.0,0.0,0.0,0.0,2712.9593039810734,64.62554386262626,0.0,298.66007471686777,0.0,603.005923418801,0.0,177.21441004172542,1159.9993683113619,0.0,0.0,0.0,0.0,3508.64493426061,1159.9993683113619,0.0,603.005923418801,505.4163141161083,5147.790697747539,17.84790389769564,176.90358761298435,1.7690358761298435,1678.9257306966865,16.789257306966864,2.653811571637787,0.5307623143275573,2.123049257310229,6.030059234188011,6.647872531524826,0.33239362657624133,1.9899521124602615,30
