,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1500.0,28754.0,2283.0,2969.0,10722.0,163431.0,570165.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,28754.0,174153.0,5469.0,0.0,100
mean,15.0,287.54,22.83,29.69,107.22,1634.31,5701.65,10.0,0.0,0.0,0.0,0.0,0.0,0.0,287.54,1741.53,54.69,0.0,100
std,0.0,159.63863358640143,6.346963005559382,2.4275148367884967,91.60119755734307,3549.4222710865,4332.035139749008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.63863358640143,3554.635432740884,2.427514836788496,0.0,100
