,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1500.0,26351.0,2135.0,2966.0,4871.0,54146.0,585325.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,26351.0,59017.0,5466.0,0.0,100
mean,15.0,263.51,21.35,29.66,48.71,541.46,5853.25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,263.51,590.17,54.66,0.0,100
std,0.0,128.59964457905232,4.31435236896992,2.712559639524963,58.12600297820436,1908.446379713725,4289.912245988586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.59964457905232,1914.351281607934,2.7125596395249625,0.0,100
