,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,540.0,7775.0,720.0,1080.0,39360.0,5762.0,180968.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,7775.0,5762.0,1980.0,100
mean,5.4,77.75,7.2,10.8,393.6,57.62,1809.68,3.6,0.0,0.0,0.0,0.0,0.0,0.0,77.75,57.62,19.8,100
std,7.236272269866327,123.27954396247561,9.648363026488438,14.472544539732654,296.68716306451944,107.19054873156372,1089.4813786125187,4.824181513244219,0.0,0.0,0.0,0.0,0.0,0.0,123.27954396247561,107.19054873156372,26.532998322843195,100
