,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,431.0,23647.0,2119.0,2612.0,4305.0,14836.0,49142.0,149345.0,890.0,0.0,0.0,0.0,0.0,0.0,23647.0,63978.0,3933.0,11.0,100
mean,4.31,236.47,21.19,26.12,43.05,148.36,491.42,1493.45,8.9,0.0,0.0,0.0,0.0,0.0,236.47,639.78,39.33,0.11,100
std,6.632785115156256,170.17747450318691,8.280066119874585,9.829125961738265,157.70592598538934,137.11791872823784,749.4914798607376,1137.9423249218237,3.1446603773522015,0.0,0.0,0.0,0.0,0.0,170.17747450318691,741.7773983391976,15.445606743561992,0.31446603773522014,100
