,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,5871.0,115749.0,9612.0,11865.0,43637.0,820350.0,2025322.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,115749.0,863987.0,21736.0,0.0,400
mean,14.6775,289.3725,24.03,29.6625,109.0925,2050.875,5063.305,10.0,0.0,0.0,0.0,0.0,0.0,0.0,289.3725,2159.9675,54.34,0.0,400
std,1.7104994214195723,171.4784414539001,7.065685371882624,2.2850925297839004,121.97197156876217,3821.0532329316275,4709.295662949789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.4784414539001,3847.9325994185397,2.8158876145265657,0.0,400
