,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1500.0,29083.0,2280.0,3000.0,13457.0,128457.0,590630.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,29083.0,141914.0,5500.0,100
mean,15.0,290.83,22.8,30.0,134.57,1284.57,5906.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,290.83,1419.14,55.0,100
std,0.0,156.32251400178535,5.9594589951732635,0.0,106.05080305345561,3110.444764244198,4641.560501478882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.32251400178535,3127.0650422052017,0.0,100
