,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE,nV
sum,100.0,0.0,0.0,0.0,0.0,80962.0,1329.0,0.0,2269.0,0.0,14042.0,0.0,3000.0,23167.0,0.0,0.0,0.0,0.0,91221.0,23167.0,0.0,14042.0,6598.0,47414.0,259.10699999999997,2683.0,26.829999999999995,37209.0,372.09000000000003,40.332,8.0664,32.2656,140.42000000000002,167.25,8.3625,23.9031,0.0,10
mean,10.0,0.0,0.0,0.0,0.0,8096.2,132.9,0.0,226.9,0.0,1404.2,0.0,300.0,2316.7,0.0,0.0,0.0,0.0,9122.1,2316.7,0.0,1404.2,659.8,4741.4,25.9107,268.3,2.6829999999999994,3720.9,37.209,4.0332,0.80664,3.22656,14.042000000000002,16.725,0.83625,2.39031,0.0,10
std,3.8297084310253524,0.0,0.0,0.0,0.0,1910.981993054298,54.79345054130304,0.0,111.01796651393363,0.0,790.6528666586593,0.0,114.89125293076057,966.430436652783,0.0,0.0,0.0,0.0,2878.401965983517,966.430436652783,0.0,790.6528666586593,270.7478531770843,4540.047483843705,10.531754945560277,100.636916133638,1.00636916133638,1709.564821168761,17.09564821168761,1.510199125943331,0.3020398251886662,1.208159300754665,7.906528666586592,7.765485246339159,0.38827426231695794,1.2969740419316205,0.0,10
