veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
27,9.0,0.0,False,0,0,9550.0,62.0,0,191.0,0,439.0,0.0,270.0,1770.0,0,0,0,0,9317.0,1770.0,0.0,439.0,523.0,6585.0,26.054,297,2.97,2209.0,22.09,4.4670000000000005,0.8934000000000002,3.5736000000000008,4.39,7.359999999999999,0.368,3.205600000000001,False
28,12.0,0.0,False,0,0,10232.0,105.0,0,487.0,0,1269.0,0.0,360.0,1975.0,0,0,0,0,7171.0,1975.0,0.0,1269.0,952.0,2975.0,40.706,546,5.46,3244.0,32.44,8.2035,1.6407,6.5628,12.69,18.15,0.9075,5.6553,False
29,12.0,0.0,False,0,0,9783.0,135.0,0,399.0,0,1280.0,0.0,338.0,2033.0,0,0,0,0,7631.0,2033.0,0.0,1280.0,872.0,3446.0,29.616,127,1.27,3313.0,33.13,1.9184999999999999,0.3837,1.5348,12.8,14.07,0.7035,0.8312999999999999,False
30,2.0,0.0,False,0,0,2928.0,30.0,0,40.0,0,182.0,0.0,60.0,312.0,0,0,0,0,18047.0,312.0,0.0,182.0,130.0,17423.0,3.13,261,2.61,494.0,4.94,3.918,0.7836000000000001,3.1344000000000003,1.82,4.43,0.2215,2.9129000000000005,False
31,14.0,0.0,False,0,0,10454.0,160.0,0,322.0,0,932.0,0.0,420.0,2049.0,0,0,0,0,7262.0,2049.0,0.0,932.0,902.0,3379.0,28.166,124,1.24,2981.0,29.810000000000002,1.8705000000000003,0.3741000000000001,1.4964000000000004,9.32,10.56,0.528,0.9684000000000004,False
32,17.0,0.0,False,0,0,8171.0,165.0,0,632.0,0,1468.0,0.0,510.0,3060.0,0,0,0,0,7593.0,3060.0,0.0,1468.0,1307.0,1758.0,48.238,330,3.3,4528.0,45.28,4.9559999999999995,0.9912,3.9648,14.68,17.98,0.899,3.0658,False
33,13.0,0.0,False,0,0,10176.0,126.0,0,368.0,0,1130.0,0.0,390.0,1952.0,0,0,0,0,7457.0,1952.0,0.0,1130.0,884.0,3491.0,29.163,316,3.16,3082.0,30.82,4.7505,0.9501,3.8004,11.3,14.46,0.7230000000000001,3.0774,False
34,11.0,0.0,False,0,0,10102.0,82.0,0,586.0,0,1090.0,180.0,330.0,2419.0,0,0,0,0,6810.0,2419.0,180.0,1090.0,998.0,2123.0,39.001,135,1.35,3509.0,35.09,2.028,0.4056,1.6224,10.9,12.25,0.6125,1.0099,False
35,11.0,0.0,False,0,0,10093.0,135.0,0,336.0,0,1189.0,0.0,330.0,2622.0,0,0,0,0,6894.0,2622.0,0.0,1189.0,801.0,2282.0,32.951,421,4.21,3811.0,38.11,6.327,1.2654,5.0616,11.89,16.1,0.8050000000000002,4.256600000000001,False
36,7.0,0.0,False,0,0,6050.0,75.0,0,276.0,0,408.0,0.0,210.0,1392.0,0,0,0,0,13188.0,1392.0,0.0,408.0,561.0,10827.0,18.692,359,3.59,1800.0,18.0,5.3925,1.0785,4.314,4.08,7.67,0.3835,3.9305,False
