veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
17,12.0,0.0,False,0,0,10704.0,150.0,0,265.0,0,844.0,0.0,355.0,2373.0,0,0,0,0,6908.0,2373.0,0.0,844.0,770.0,2921.0,28.806,248,2.48,3217.0,32.17,3.7230000000000003,0.7446000000000002,2.9784000000000006,8.44,10.92,0.546,2.4324000000000003,False
18,15.0,0.0,False,0,0,9390.0,120.0,0,653.0,0,1062.0,0.0,450.0,3264.0,0,0,0,0,6660.0,3264.0,0.0,1062.0,1223.0,1111.0,55.51,77,0.77,4326.0,43.26,1.158,0.2316,0.9264,10.620000000000001,11.39,0.5695,0.3569,False
19,3.0,0.0,False,0,0,10141.0,30.0,0,82.0,0,230.0,0.0,90.0,639.0,0,0,0,0,10387.0,639.0,0.0,230.0,202.0,9316.0,9.024,148,1.48,869.0,8.69,2.2215000000000003,0.4443000000000001,1.7772000000000003,2.3000000000000003,3.7800000000000002,0.18900000000000003,1.5882000000000003,False
20,4.0,0.0,False,0,0,4052.0,30.0,0,123.0,0,327.0,0.0,120.0,665.0,0,0,0,0,16282.0,665.0,0.0,327.0,273.0,15017.0,13.062,456,4.56,992.0,9.92,6.84,1.368,5.472,3.27,7.83,0.3915,5.080500000000001,False
21,23.0,0.0,False,0,0,7313.0,182.0,0,967.0,0,1749.0,0.0,666.0,3655.0,0,0,0,0,7067.0,3655.0,0.0,1749.0,1815.0,-152.0,62.524,196,1.96,5404.0,54.04,2.943,0.5886,2.3544,17.490000000000002,19.450000000000003,0.9725000000000001,1.3819,False
22,4.0,0.0,False,0,0,11779.0,45.0,0,128.0,0,262.0,0.0,120.0,662.0,0,0,0,0,8603.0,662.0,0.0,262.0,293.0,7386.0,10.898,301,3.01,924.0,9.24,4.5225,0.9045000000000001,3.6180000000000003,2.62,5.63,0.28150000000000003,3.3365000000000005,False
23,13.0,0.0,False,0,0,9120.0,135.0,0,267.0,0,1509.0,0.0,389.0,2848.0,0,0,0,0,7331.0,2848.0,0.0,1509.0,791.0,2183.0,41.401,198,1.98,4357.0,43.57,2.9775,0.5955,2.382,15.09,17.07,0.8535,1.5285000000000002,False
24,20.0,0.0,False,0,0,8291.0,157.0,0,631.0,0,1815.0,0.0,594.0,3082.0,0,0,0,0,7029.0,3082.0,0.0,1815.0,1382.0,750.0,53.953,243,2.43,4897.0,48.97,3.657,0.7314,2.9256,18.150000000000002,20.580000000000002,1.0290000000000001,1.8966,False
25,3.0,0.0,False,0,0,3924.0,3.0,0,60.0,0,92.0,0.0,90.0,728.0,0,0,0,0,16702.0,728.0,0.0,92.0,153.0,15729.0,11.713,298,2.98,820.0,8.2,4.4775,0.8955000000000001,3.5820000000000003,0.92,3.9,0.195,3.3870000000000005,False
26,2.0,0.0,False,0,0,3041.0,15.0,0,177.0,0,63.0,0.0,60.0,457.0,0,0,0,0,17786.0,457.0,0.0,63.0,252.0,17014.0,9.115,490,4.9,520.0,5.2,7.3635,1.4727000000000001,5.8908000000000005,0.63,5.53,0.2765,5.6143,False
27,18.0,0.0,False,0,0,9836.0,177.0,0,719.0,0,805.0,0.0,540.0,2823.0,0,0,0,0,6699.0,2823.0,0.0,805.0,1436.0,1635.0,44.159,94,0.94,3628.0,36.28,1.419,0.2838,1.1352,8.05,8.99,0.4495,0.6857,False
28,4.0,0.0,False,0,0,4541.0,45.0,0,176.0,0,207.0,0.0,120.0,525.0,0,0,0,0,15985.0,525.0,0.0,207.0,341.0,14912.0,7.606,215,2.15,732.0,7.32,3.2249999999999996,0.645,2.58,2.07,4.22,0.211,2.369,False
29,18.0,0.0,False,0,0,9352.0,180.0,0,1031.0,0,1040.0,0.0,540.0,2561.0,0,0,0,0,6895.0,2561.0,0.0,1040.0,1751.0,1543.0,41.597,161,1.61,3601.0,36.01,2.415,0.48300000000000004,1.9320000000000002,10.4,12.01,0.6005,1.3315000000000001,False
30,6.0,0.0,False,0,0,11606.0,45.0,0,151.0,0,443.0,0.0,164.0,889.0,0,0,0,0,8301.0,889.0,0.0,443.0,360.0,6609.0,16.047,174,1.74,1332.0,13.32,2.6235,0.5247,2.0988,4.43,6.17,0.3085,1.7903000000000002,False
31,12.0,0.0,False,0,0,9498.0,120.0,0,486.0,0,698.0,180.0,360.0,1560.0,0,0,0,0,8697.0,1560.0,180.0,698.0,966.0,5293.0,25.965,207,2.07,2258.0,22.580000000000002,3.1065000000000005,0.6213000000000002,2.4852000000000007,6.98,9.05,0.45250000000000007,2.0327000000000006,False
32,9.0,0.0,False,0,0,11339.0,120.0,0,253.0,0,437.0,0.0,270.0,1521.0,0,0,0,0,7659.0,1521.0,0.0,437.0,643.0,5058.0,16.258,13,0.13,1958.0,19.580000000000002,0.198,0.0396,0.1584,4.37,4.5,0.225,-0.06659999999999999,False
33,9.0,0.0,False,0,0,10499.0,135.0,0,161.0,0,477.0,0.0,270.0,1306.0,0,0,0,0,8751.0,1306.0,0.0,477.0,566.0,6402.0,13.112,230,2.3,1783.0,17.830000000000002,3.4545,0.6909000000000001,2.7636000000000003,4.7700000000000005,7.07,0.35350000000000004,2.4101000000000004,False
34,13.0,0.0,False,0,0,8868.0,135.0,0,373.0,0,774.0,0.0,374.0,2912.0,0,0,0,0,8163.0,2912.0,0.0,774.0,882.0,3595.0,38.234,177,1.77,3686.0,36.86,2.6624999999999996,0.5325,2.13,7.74,9.51,0.47550000000000003,1.6544999999999999,False
35,9.0,0.0,False,0,0,10326.0,75.0,0,602.0,0,764.0,0.0,266.0,1314.0,0,0,0,0,8252.0,1314.0,0.0,764.0,943.0,5231.0,27.569,4,0.04,2078.0,20.78,0.0675,0.013500000000000002,0.054000000000000006,7.640000000000001,7.680000000000001,0.38400000000000006,-0.33000000000000007,False
36,5.0,0.0,False,0,0,12924.0,60.0,0,87.0,0,179.0,0.0,125.0,939.0,0,0,0,0,7285.0,939.0,0.0,179.0,272.0,5895.0,11.553,233,2.33,1118.0,11.18,3.507,0.7014,2.8056,1.79,4.12,0.20600000000000002,2.5996,False
37,6.0,0.0,False,0,0,11944.0,90.0,0,118.0,0,356.0,0.0,180.0,1122.0,0,0,0,0,7789.0,1122.0,0.0,356.0,388.0,5923.0,11.251,236,2.36,1478.0,14.780000000000001,3.54,0.7080000000000001,2.8320000000000003,3.56,5.92,0.296,2.5360000000000005,False
38,3.0,0.0,False,0,0,10634.0,45.0,0,54.0,0,136.0,0.0,90.0,802.0,0,0,0,0,9838.0,802.0,0.0,136.0,189.0,8711.0,8.033,184,1.84,938.0,9.38,2.7720000000000002,0.5544000000000001,2.2176000000000005,1.36,3.2,0.16000000000000003,2.0576000000000003,False
39,11.0,0.0,False,0,0,10159.0,120.0,0,412.0,0,1111.0,0.0,308.0,1842.0,0,0,0,0,7647.0,1842.0,0.0,1111.0,840.0,3854.0,28.537,210,2.1,2953.0,29.53,3.156,0.6312000000000001,2.5248000000000004,11.11,13.209999999999999,0.6605,1.8643000000000005,False
40,13.0,0.0,False,0,0,9007.0,135.0,0,543.0,0,1063.0,0.0,390.0,2597.0,0,0,0,0,7864.0,2597.0,0.0,1063.0,1068.0,3136.0,37.707,445,4.45,3660.0,36.6,6.679500000000001,1.3359000000000003,5.343600000000001,10.63,15.080000000000002,0.7540000000000001,4.589600000000001,False
41,12.0,0.0,False,0,0,10434.0,150.0,0,220.0,0,773.0,0.0,336.0,1931.0,0,0,0,0,7755.0,1931.0,0.0,773.0,706.0,4345.0,23.281,246,2.46,2704.0,27.04,3.6945,0.7389000000000001,2.9556000000000004,7.73,10.190000000000001,0.5095000000000001,2.4461000000000004,False
42,7.0,0.0,False,0,0,11152.0,75.0,0,144.0,0,514.0,180.0,210.0,1677.0,0,0,0,0,7647.0,1677.0,180.0,514.0,429.0,4847.0,21.652,407,4.07,2191.0,21.91,6.1155,1.2231,4.8924,5.14,9.21,0.4605000000000001,4.431900000000001,False
43,11.0,0.0,False,0,0,10500.0,150.0,0,356.0,0,743.0,180.0,330.0,2580.0,0,0,0,0,6760.0,2580.0,180.0,743.0,836.0,2421.0,30.801,226,2.26,3323.0,33.230000000000004,3.4005,0.6801,2.7204,7.43,9.69,0.4845,2.2359,False
44,10.0,0.0,False,0,0,6318.0,105.0,0,316.0,0,822.0,0.0,300.0,1694.0,0,0,0,0,12044.0,1694.0,0.0,822.0,721.0,8807.0,25.138,223,2.23,2516.0,25.16,3.354,0.6708000000000001,2.6832000000000003,8.22,10.450000000000001,0.5225000000000001,2.1607000000000003,False
45,3.0,0.0,False,0,0,13120.0,45.0,0,60.0,0,298.0,0.0,90.0,383.0,0,0,0,0,7603.0,383.0,0.0,298.0,195.0,6727.0,3.837,427,4.27,681.0,6.8100000000000005,6.411,1.2822,5.1288,2.98,7.25,0.36250000000000004,4.7663,False
46,0.0,0.0,False,0,0,1467.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,20132.0,0.0,0.0,0.0,0.0,20132.0,0.0,198,1.98,0.0,0.0,2.9805,0.5961000000000001,2.3844000000000003,0.0,1.98,0.099,2.2854,True
47,5.0,0.0,False,0,0,1658.0,75.0,0,100.0,0,207.0,0.0,150.0,611.0,0,0,0,0,18798.0,611.0,0.0,207.0,325.0,17655.0,6.13,350,3.5,818.0,8.18,5.253,1.0506,4.2024,2.07,5.57,0.2785,3.9238999999999997,False
48,15.0,0.0,False,0,0,9161.0,150.0,0,539.0,0,1238.0,0.0,450.0,2829.0,0,0,0,0,7232.0,2829.0,0.0,1238.0,1139.0,2026.0,41.648,157,1.57,4067.0,40.67,2.3594999999999997,0.4719,1.8876,12.38,13.950000000000001,0.6975000000000001,1.1900999999999997,False
49,10.0,0.0,False,0,0,6510.0,90.0,0,732.0,0,10722.0,0.0,300.0,1598.0,0,0,0,0,1647.0,1598.0,0.0,10722.0,1122.0,-11795.0,29.711,221,2.21,12320.0,123.2,3.3195,0.6639,2.6556,107.22,109.42999999999999,5.4715,-2.8158999999999996,False
50,12.0,0.0,False,0,0,7158.0,120.0,0,388.0,0,843.0,0.0,342.0,2111.0,0,0,0,0,10637.0,2111.0,0.0,843.0,850.0,6833.0,32.951,247,2.47,2954.0,29.54,3.7125000000000004,0.7425000000000002,2.9700000000000006,8.43,10.9,0.545,2.4250000000000007,False
