,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,498.0,0.0,0.0,0.0,0.0,249291.0,5069.0,0.0,18457.0,0.0,64483.0,0.0,14698.0,90085.0,0.0,0.0,0.0,0.0,414693.0,90085.0,0.0,64483.0,38224.0,221901.0,1311.222,11446.0,114.46000000000001,154568.0,1545.68,171.9645,34.3929,137.5716,644.8299999999999,759.2900000000001,37.9645,99.6071,40
mean,12.45,0.0,0.0,0.0,0.0,6232.275,126.725,0.0,461.425,0.0,1612.075,0.0,367.45,2252.125,0.0,0.0,0.0,0.0,10367.325,2252.125,0.0,1612.075,955.6,5547.525,32.78055,286.15,2.8615000000000004,3864.2,38.642,4.2991125,0.8598224999999999,3.4392899999999997,16.120749999999997,18.98225,0.9491125,2.4901775,40
std,7.486569170769608,0.0,0.0,0.0,0.0,2937.111680716278,75.75499898881176,0.0,316.73534106892976,0.0,2147.971677551662,0.0,220.49279888235435,1335.9447667743584,0.0,0.0,0.0,0.0,4872.3987163040165,1335.9447667743584,0.0,2147.971677551662,591.5478522811671,7472.549690109384,20.433326015328927,166.52166256245494,1.6652166256245493,2707.750274437794,27.07750274437794,2.498301162501769,0.49966023250035385,1.9986409300014154,21.47971677551662,21.410904660883336,1.070545233044167,2.26972380037607,40
