,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1020.0,15460.0,1360.0,2040.0,19680.0,5211.0,655245.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,15460.0,5211.0,3740.0,32.0,100
mean,10.2,154.6,13.6,20.4,196.8,52.11,6552.45,6.8,0.0,0.0,0.0,0.0,0.0,0.0,154.6,52.11,37.4,0.32,100
std,7.0323925839322605,151.96205002060432,9.376523445243013,14.064785167864521,288.32809594122267,70.87132955952889,4207.930104594361,4.688261722621506,0.0,0.0,0.0,0.0,0.0,0.0,151.96205002060432,70.87132955952889,25.78543947441829,0.4688261722621506,100
