,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1500.0,28690.0,1880.0,3000.0,23283.0,63028.0,554949.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,28690.0,86311.0,5500.0,100
mean,15.0,286.9,18.8,30.0,232.83,630.28,5549.49,10.0,0.0,0.0,0.0,0.0,0.0,0.0,286.9,863.11,55.0,100
std,0.0,166.36011201212528,3.265986323710909,0.0,993.5892700078576,2239.0930662194282,4130.088373097597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.36011201212528,2461.649467103082,0.0,100
